,種類,地区名,最寄駅,最寄駅からの距離（分）,取引価格（総額）,面積（㎡）,建築年
269,中古マンション等,高田,雑司が谷(東京メトロ),6,8400000,15,1983.0
270,中古マンション等,高田,雑司が谷(東京メトロ),12,48000000,65,2001.0
271,中古マンション等,高田,雑司が谷(東京メトロ),8,90000000,90,2006.0
273,中古マンション等,高田,高田馬場,8,12000000,35,1976.0
274,中古マンション等,高田,早稲田(メトロ),14,22000000,20,2008.0
275,中古マンション等,高田,早稲田(メトロ),2,23000000,20,2008.0
276,中古マンション等,高田,早稲田(都電),4,34000000,25,2020.0
279,中古マンション等,高松,要町,6,61000000,50,2010.0
280,宅地(土地と建物),高松,要町,8,50000000,45,2020.0
281,宅地(土地と建物),高松,要町,8,61000000,70,2021.0
282,宅地(土地と建物),高松,要町,9,110000000,90,2020.0
283,中古マンション等,高松,要町,7,27000000,30,1991.0
284,中古マンション等,高松,千川,7,70000000,70,2011.0
285,中古マンション等,高松,千川,7,69000000,70,2011.0
286,中古マンション等,千早,要町,2,59000000,55,2004.0
287,中古マンション等,千早,要町,2,44000000,55,2004.0
289,宅地(土地と建物),千早,要町,9,220000000,250,2019.0
291,中古マンション等,千早,要町,5,22000000,30,1991.0
292,宅地(土地と建物),千早,椎名町,9,14000000,40,1970.0
293,宅地(土地と建物),千早,千川,7,380000000,110,2021.0
294,宅地(土地と建物),千早,千川,3,57000000,70,2017.0
295,宅地(土地と建物),千早,千川,5,700000000,680,1990.0
296,中古マンション等,千早,千川,6,8300000,15,1986.0
297,中古マンション等,千早,千川,6,20000000,20,2003.0
298,宅地(土地と建物),千早,東長崎,8,39000000,55,1996.0
299,中古マンション等,長崎,椎名町,6,9000000,10,1984.0
300,中古マンション等,長崎,椎名町,7,7000000,15,1987.0
301,宅地(土地と建物),長崎,椎名町,10,110000000,90,2020.0
302,宅地(土地と建物),長崎,椎名町,3,71000000,95,1995.0
303,中古マンション等,長崎,椎名町,6,15000000,15,1993.0
304,中古マンション等,長崎,椎名町,1,20000000,20,2004.0
305,宅地(土地と建物),長崎,千川,9,110000000,150,1997.0
306,宅地(土地と建物),長崎,千川,9,67000000,80,2021.0
307,宅地(土地と建物),長崎,千川,9,62000000,65,2021.0
308,宅地(土地と建物),長崎,千川,11,5000000,40,1965.0
310,宅地(土地と建物),長崎,千川,9,73000000,70,2021.0
311,中古マンション等,長崎,千川,8,53000000,55,2006.0
312,中古マンション等,長崎,東長崎,11,19000000,20,2015.0
313,宅地(土地と建物),長崎,東長崎,5,89000000,70,2020.0
314,宅地(土地と建物),長崎,東長崎,7,320000000,115,2020.0
315,宅地(土地と建物),長崎,東長崎,8,340000000,145,2020.0
316,宅地(土地と建物),長崎,東長崎,8,25000000,35,1996.0
317,宅地(土地と建物),長崎,東長崎,5,82000000,70,2020.0
318,中古マンション等,長崎,東長崎,11,22000000,20,2015.0
319,中古マンション等,長崎,東長崎,11,23000000,20,2015.0
320,中古マンション等,長崎,東長崎,10,22000000,20,2006.0
322,宅地(土地と建物),長崎,東長崎,10,62000000,75,2021.0
325,宅地(土地と建物),長崎,東長崎,7,72000000,80,2021.0
326,中古マンション等,長崎,東長崎,2,28000000,40,1971.0
327,中古マンション等,長崎,東長崎,11,18000000,20,2015.0
328,中古マンション等,西池袋,池袋,11,24000000,20,2004.0
330,宅地(土地と建物),西池袋,池袋,8,45000000,50,1997.0
331,中古マンション等,西池袋,池袋,5,21000000,20,1998.0
332,中古マンション等,西池袋,池袋,12,25000000,20,2009.0
333,中古マンション等,西池袋,池袋,6,110000000,80,2004.0
334,中古マンション等,西池袋,池袋,6,23000000,20,2003.0
335,中古マンション等,西池袋,池袋,5,76000000,65,2004.0
336,宅地(土地と建物),西池袋,池袋,13,70000000,50,2006.0
337,宅地(土地と建物),西池袋,池袋,6,630000000,440,2010.0
338,中古マンション等,西池袋,池袋,12,28000000,20,2009.0
339,中古マンション等,西池袋,池袋,8,42000000,50,1986.0
340,中古マンション等,西池袋,要町,3,21000000,20,1995.0
341,中古マンション等,西池袋,要町,3,55000000,50,1995.0
342,中古マンション等,西池袋,要町,4,65000000,65,1998.0
343,中古マンション等,西池袋,要町,3,78000000,60,2013.0
344,中古マンション等,西池袋,要町,2,24000000,20,2007.0
345,中古マンション等,西池袋,要町,3,52000000,45,1995.0
346,中古マンション等,西池袋,要町,9,25000000,20,2013.0
